date,h
1896-04-01 08:00:00,170.0
1896-05-01 08:00:00,110.0
1896-06-16 15:00:00,120.0
1896-07-01 08:00:00,90.0
1896-08-31 23:59:00,84.7
1896-09-01 08:00:00,160.0
1896-10-31 15:00:00,520.0
1896-11-01 08:00:00,530.0
1896-12-23 08:00:00,370.0
1897-01-01 08:00:00,330.0
1897-02-15 08:00:00,560.0
1897-03-17 08:00:00,310.0
1897-04-08 15:00:00,340.0
1897-05-02 15:00:00,180.0
1897-06-08 08:00:00,140.0
1897-07-03 08:00:00,110.0
1897-08-01 15:00:00,130.0
1897-09-11 08:00:00,170.0
1897-10-01 08:00:00,100.0
1897-11-01 08:00:00,90.0
1897-12-14 08:00:00,130.0
1898-01-03 08:00:00,120.0
1898-02-26 08:00:00,220.0
1898-03-06 08:00:00,250.0
1898-04-01 08:00:00,130.0
1898-05-22 08:00:00,210.0
1898-06-01 15:00:00,150.0
1898-07-09 08:00:00,100.0
1898-08-23 15:00:00,90.0
1898-09-06 08:00:00,90.0
1898-10-11 08:00:00,90.0
1898-11-24 08:00:00,100.0
1898-12-12 08:00:00,110.0
1899-01-18 08:00:00,310.0
1899-02-01 08:00:00,180.0
1900-01-31 15:00:00,360.0
1900-02-05 08:00:00,370.0
1900-03-01 00:01:00,309.0
1900-04-06 08:00:00,130.0
1900-05-11 08:00:00,120.0
1900-06-21 08:00:00,120.0
1900-07-01 00:01:00,84.7
1900-08-20 08:00:00,100.0
1900-09-01 08:00:00,90.0
1900-10-01 08:00:00,90.0
1900-11-30 23:59:00,111.0
1900-12-09 15:00:00,200.0
1901-01-31 23:59:00,195.0
1901-02-01 08:00:00,200.0
1901-03-24 08:00:00,330.0
1901-04-18 15:00:00,380.0
1901-05-01 08:00:00,210.0
1901-06-01 08:00:00,100.0
1901-07-30 08:00:00,90.0
1901-08-02 15:00:00,90.0
1901-09-22 08:00:00,120.0
1901-10-16 08:00:00,180.0
1901-11-01 15:00:00,120.0
1901-12-31 23:59:00,241.0
1902-01-06 08:00:00,290.0
1902-02-11 08:00:00,290.0
1902-03-31 15:00:00,250.0
1902-04-03 08:00:00,280.0
1902-05-23 15:00:00,240.0
1902-06-06 08:00:00,210.0
1902-07-09 08:00:00,100.0
1902-08-13 08:00:00,100.0
1902-09-08 15:00:00,100.0
1902-10-03 15:00:00,100.0
1902-11-29 08:00:00,130.0
1902-12-31 15:00:00,190.0
1903-01-06 15:00:00,290.0
1903-02-01 08:00:00,120.0
1903-03-07 15:00:00,170.0
1903-04-30 23:59:00,165.0
1903-05-07 08:00:00,190.0
1903-06-24 08:00:00,110.0
1903-07-18 08:00:00,80.0
1903-08-28 08:00:00,130.0
1903-09-01 08:00:00,120.0
1903-10-01 08:00:00,90.0
1903-11-28 15:00:00,130.0
1903-12-07 15:00:00,210.0
1904-01-17 08:00:00,190.0
1904-02-24 08:00:00,420.0
1904-03-01 00:01:00,335.0
1904-04-05 15:00:00,180.0
1904-05-10 15:00:00,120.0
1904-06-07 08:00:00,130.0
1904-07-31 08:00:00,92.0
1904-08-01 00:01:00,90.7
1904-09-13 08:00:00,95.0
1904-10-04 08:00:00,92.0
1904-11-19 08:00:00,94.0
1904-12-17 08:00:00,124.0
1905-01-19 08:00:00,164.0
1905-02-09 08:00:00,141.0
1905-03-30 15:00:00,200.0
1905-04-02 08:00:00,162.0
1905-05-11 08:00:00,130.0
1905-06-20 08:00:00,96.0
1905-07-20 08:00:00,85.0
1905-08-23 08:00:00,98.0
