Date;Type;Valeur
11/02/1902 08:00;Débit;891
11/02/1902 08:00;Hauteur;290
31/03/1902 15:00;Débit;778
31/03/1902 15:00;Hauteur;250
03/04/1902 08:00;Débit;863
03/04/1902 08:00;Hauteur;280
23/05/1902 15:00;Débit;747
23/05/1902 15:00;Hauteur;240
06/06/1902 08:00;Débit;650
06/06/1902 08:00;Hauteur;210
09/07/1902 08:00;Débit;149
09/07/1902 08:00;Hauteur;100
13/08/1902 08:00;Débit;149
13/08/1902 08:00;Hauteur;100
08/09/1902 15:00;Débit;149
08/09/1902 15:00;Hauteur;100
03/10/1902 15:00;Débit;149
03/10/1902 15:00;Hauteur;100
29/11/1902 08:00;Débit;348
29/11/1902 08:00;Hauteur;130
31/12/1902 15:00;Débit;585
31/12/1902 15:00;Hauteur;190
06/01/1903 15:00;Hauteur;290
06/01/1903 15:00;Débit;891
06/01/1903 15:00;Hauteur;290
01/02/1903 08:00;Débit;278
01/02/1903 08:00;Hauteur;120
07/03/1903 15:00;Débit;520
07/03/1903 15:00;Hauteur;170
30/04/1903 23:59;Débit;505
30/04/1903 23:59;Hauteur;165
07/05/1903 08:00;Débit;585
07/05/1903 08:00;Hauteur;190
24/06/1903 08:00;Débit;207
24/06/1903 08:00;Hauteur;110
18/07/1903 08:00;Débit;98,6
18/07/1903 08:00;Hauteur;80
28/08/1903 08:00;Débit;348
28/08/1903 08:00;Hauteur;130
01/09/1903 08:00;Débit;278
01/09/1903 08:00;Hauteur;120
01/10/1903 08:00;Débit;115
01/10/1903 08:00;Hauteur;90
28/11/1903 15:00;Débit;348
28/11/1903 15:00;Hauteur;130
07/12/1903 15:00;Débit;650
07/12/1903 15:00;Hauteur;210
24/02/1904 08:00;Hauteur;420
17/01/1904 08:00;Débit;585
17/01/1904 08:00;Hauteur;190
24/02/1904 08:00;Débit;1210
24/02/1904 08:00;Hauteur;420
01/03/1904 00:01;Débit;1010
01/03/1904 00:01;Hauteur;335
05/04/1904 15:00;Débit;553
05/04/1904 15:00;Hauteur;180
10/05/1904 15:00;Débit;278
10/05/1904 15:00;Hauteur;120
07/06/1904 08:00;Débit;348
07/06/1904 08:00;Hauteur;130
31/07/1904 08:00;Débit;120
31/07/1904 08:00;Hauteur;92
01/08/1904 00:01;Débit;116
01/08/1904 00:01;Hauteur;90,7
13/09/1904 08:00;Débit;131
13/09/1904 08:00;Hauteur;95
04/10/1904 08:00;Débit;120
04/10/1904 08:00;Hauteur;92
19/11/1904 08:00;Débit;127
19/11/1904 08:00;Hauteur;94
17/12/1904 08:00;Débit;311
17/12/1904 08:00;Hauteur;124
24/11/1905 15:00;Hauteur;318
19/01/1905 08:00;Débit;501
19/01/1905 08:00;Hauteur;164
09/02/1905 08:00;Débit;404
09/02/1905 08:00;Hauteur;141
30/03/1905 15:00;Débit;618
30/03/1905 15:00;Hauteur;200
02/04/1905 08:00;Débit;494
02/04/1905 08:00;Hauteur;162
11/05/1905 08:00;Débit;348
11/05/1905 08:00;Hauteur;130
20/06/1905 08:00;Débit;135
20/06/1905 08:00;Hauteur;96
20/07/1905 08:00;Débit;107
20/07/1905 08:00;Hauteur;85
23/08/1905 08:00;Débit;142
23/08/1905 08:00;Hauteur;98
01/09/1905 08:00;Débit;170
01/09/1905 08:00;Hauteur;104
19/10/1905 08:00;Débit;115
19/10/1905 08:00;Hauteur;90
24/11/1905 15:00;Débit;969
24/11/1905 15:00;Hauteur;318
01/12/1905 00:01;Débit;830
01/12/1905 00:01;Hauteur;268
06/03/1906 15:00;Débit;1270
06/03/1906 15:00;Hauteur;441
20/01/1906 08:00;Débit;983
20/01/1906 08:00;Hauteur;324
28/02/1906 23:59;Débit;1070
28/02/1906 23:59;Hauteur;361
06/03/1906 15:00;Débit;1270
06/03/1906 15:00;Hauteur;441
02/04/1906 15:00;Débit;494
02/04/1906 15:00;Hauteur;162
03/05/1906 08:00;Débit;397
03/05/1906 08:00;Hauteur;139
23/06/1906 08:00;Débit;225
23/06/1906 08:00;Hauteur;113
02/07/1906 08:00;Débit;138
02/07/1906 08:00;Hauteur;97
22/08/1906 08:00;Débit;131
22/08/1906 08:00;Hauteur;95
21/09/1906 08:00;Débit;120
21/09/1906 08:00;Hauteur;92
27/10/1906 08:00;Débit;138
27/10/1906 08:00;Hauteur;97
23/11/1906 08:00;Débit;253
23/11/1906 08:00;Hauteur;117
17/12/1906 08:00;Débit;637
17/12/1906 08:00;Hauteur;206
25/02/1907 08:00;Débit;975
25/02/1907 08:00;Hauteur;320
04/01/1907 15:00;Débit;947
04/01/1907 15:00;Hauteur;310
25/02/1907 08:00;Débit;975
25/02/1907 08:00;Hauteur;320
01/03/1907 08:00;Débit;913
01/03/1907 08:00;Hauteur;298
01/04/1907 15:00;Débit;520
01/04/1907 15:00;Hauteur;170
11/05/1907 15:00;Débit;618
11/05/1907 15:00;Hauteur;200
05/06/1907 08:00;Débit;278
05/06/1907 08:00;Hauteur;120
05/07/1907 08:00;Débit;238
05/07/1907 08:00;Hauteur;115
29/08/1907 08:00;Débit;131
29/08/1907 08:00;Hauteur;95
04/09/1907 08:00;Débit;131
04/09/1907 08:00;Hauteur;95
19/10/1907 08:00;Débit;303
19/10/1907 08:00;Hauteur;123
27/11/1907 08:00;Débit;365
27/11/1907 08:00;Hauteur;133
16/12/1907 15:00;Débit;754
16/12/1907 15:00;Hauteur;242
09/03/1908 15:00;Hauteur;424
31/01/1908 23:59;Débit;464
31/01/1908 23:59;Hauteur;155
29/02/1908 23:59;Débit;1070
29/02/1908 23:59;Hauteur;362
09/03/1908 15:00;Débit;1220
09/03/1908 15:00;Hauteur;424
03/04/1908 08:00;Débit;624
03/04/1908 08:00;Hauteur;202
14/05/1908 15:00;Débit;650
14/05/1908 15:00;Hauteur;210
16/06/1908 08:00;Débit;527
16/06/1908 08:00;Hauteur;172
22/07/1908 08:00;Débit;158
22/07/1908 08:00;Hauteur;102
28/08/1908 08:00;Débit;124
28/08/1908 08:00;Hauteur;93
08/09/1908 08:00;Débit;149
08/09/1908 08:00;Hauteur;100
01/10/1908 08:00;Débit;120
01/10/1908 08:00;Hauteur;92
25/11/1908 08:00;Débit;207
25/11/1908 08:00;Hauteur;110
31/12/1908 23:59;Débit;430
31/12/1908 23:59;Hauteur;147
31/12/1909 15:00;Débit;1030
31/12/1909 15:00;Hauteur;345
19/01/1909 08:00;Débit;624
19/01/1909 08:00;Hauteur;202
14/02/1909 08:00;Débit;348
14/02/1909 08:00;Hauteur;130
31/03/1909 23:59;Débit;950
31/03/1909 23:59;Hauteur;311
01/04/1909 08:00;Débit;953
01/04/1909 08:00;Hauteur;312
01/05/1909 08:00;Débit;415
01/05/1909 08:00;Hauteur;144
17/06/1909 08:00;Débit;245
17/06/1909 08:00;Hauteur;116
18/07/1909 08:00;Débit;407
18/07/1909 08:00;Hauteur;142
01/08/1909 00:01;Débit;166
01/08/1909 00:01;Hauteur;103
14/09/1909 15:00;Débit;465
14/09/1909 15:00;Hauteur;155
30/10/1909 15:00;Débit;520
30/10/1909 15:00;Hauteur;170
03/11/1909 15:00;Débit;520
03/11/1909 15:00;Hauteur;170
31/12/1909 15:00;Débit;1030
31/12/1909 15:00;Hauteur;345
28/01/1910 12:00;Débit;2650
28/01/1910 12:00;Hauteur;862
28/01/1910 12:00;Débit;2650
28/01/1910 12:00;Hauteur;862
01/02/1910 00:01;Débit;2330
01/02/1910 00:01;Hauteur;775
01/03/1910 17:00;Débit;1620
01/03/1910 17:00;Hauteur;561
16/04/1910 15:00;Débit;618
16/04/1910 15:00;Hauteur;200
15/05/1910 15:00;Débit;1000
15/05/1910 15:00;Hauteur;332
18/06/1910 08:00;Débit;902
18/06/1910 08:00;Hauteur;294
17/07/1910 08:00;Débit;998
17/07/1910 08:00;Hauteur;331
02/08/1910 15:00;Débit;715
02/08/1910 15:00;Hauteur;230
02/09/1910 08:00;Débit;348
02/09/1910 08:00;Hauteur;130
16/10/1910 08:00;Débit;238
16/10/1910 08:00;Hauteur;115
20/11/1910 11:00;Débit;1730
20/11/1910 11:00;Hauteur;597
01/12/1910 08:00;Débit;1380
01/12/1910 08:00;Hauteur;480
01/01/1911 00:01;Hauteur;389
01/01/1911 00:01;Débit;1140
01/01/1911 00:01;Hauteur;389
27/02/1911 15:00;Débit;666
27/02/1911 15:00;Hauteur;215
18/03/1911 08:00;Débit;650
18/03/1911 08:00;Hauteur;210
01/04/1911 00:01;Débit;583
01/04/1911 00:01;Hauteur;189
02/05/1911 08:00;Débit;207
02/05/1911 08:00;Hauteur;110
06/06/1911 08:00;Débit;207
06/06/1911 08:00;Hauteur;110
01/07/1911 08:00;Débit;176
01/07/1911 08:00;Hauteur;105
13/08/1911 08:00;Débit;294
13/08/1911 08:00;Hauteur;122
30/09/1911 23:59;Débit;113
30/09/1911 23:59;Hauteur;88,7
29/10/1911 08:00;Débit;195
29/10/1911 08:00;Hauteur;108
25/11/1911 15:00;Débit;657
25/11/1911 15:00;Hauteur;212
28/12/1911 15:00;Débit;991
28/12/1911 15:00;Hauteur;328
13/01/1912 23:59;Débit;1310
13/01/1912 23:59;Hauteur;456
13/01/1912 23:59;Débit;1310
13/01/1912 23:59;Hauteur;456
12/02/1912 08:00;Débit;592
12/02/1912 08:00;Hauteur;192
09/03/1912 08:00;Débit;754
09/03/1912 08:00;Hauteur;242
01/04/1912 15:00;Débit;650
01/04/1912 15:00;Hauteur;210
10/05/1912 08:00;Débit;207
10/05/1912 08:00;Hauteur;110
15/06/1912 08:00;Débit;207
15/06/1912 08:00;Hauteur;110
02/07/1912 08:00;Débit;201
02/07/1912 08:00;Hauteur;109
31/08/1912 23:59;Débit;280
31/08/1912 23:59;Hauteur;120
03/09/1912 08:00;Débit;348
03/09/1912 08:00;Hauteur;130
31/10/1912 23:59;Débit;454
31/10/1912 23:59;Hauteur;153
04/11/1912 08:00;Débit;657
04/11/1912 08:00;Hauteur;212
29/12/1912 15:00;Débit;754
29/12/1912 15:00;Hauteur;242
04/02/1913 08:00;Débit;1230
04/02/1913 08:00;Hauteur;426
25/01/1913 15:00;Débit;1020
25/01/1913 15:00;Hauteur;339
04/02/1913 08:00;Débit;1230
04/02/1913 08:00;Hauteur;426
31/03/1913 23:59;Débit;645
31/03/1913 23:59;Hauteur;208
22/04/1913 15:00;Débit;913
22/04/1913 15:00;Hauteur;298
19/05/1913 15:00;Débit;983
19/05/1913 15:00;Hauteur;324
04/06/1913 15:00;Débit;488
04/06/1913 15:00;Hauteur;160
23/07/1913 08:00;Débit;294
23/07/1913 08:00;Hauteur;122
23/08/1913 08:00;Débit;238
23/08/1913 08:00;Hauteur;115
08/09/1913 08:00;Débit;348
08/09/1913 08:00;Hauteur;130
12/10/1913 08:00;Débit;270
12/10/1913 08:00;Hauteur;119
21/11/1913 08:00;Débit;760
21/11/1913 08:00;Hauteur;244
29/12/1913 15:00;Débit;1010
29/12/1913 15:00;Hauteur;335
31/03/1914 15:00;Débit;1400
31/03/1914 15:00;Hauteur;487
12/01/1914 15:00;Débit;1020
12/01/1914 15:00;Hauteur;340
25/02/1914 15:00;Débit;891
25/02/1914 15:00;Hauteur;290
31/03/1914 15:00;Débit;1400
31/03/1914 15:00;Hauteur;487
01/04/1914 08:00;Débit;1390
01/04/1914 08:00;Hauteur;485
04/05/1914 08:00;Débit;424
04/05/1914 08:00;Hauteur;146
17/06/1914 08:00;Débit;397
17/06/1914 08:00;Hauteur;139
06/07/1914 08:00;Débit;319
06/07/1914 08:00;Hauteur;125
07/08/1914 08:00;Débit;278
07/08/1914 08:00;Hauteur;120
27/09/1914 08:00;Débit;359
27/09/1914 08:00;Hauteur;132
01/10/1914 00:01;Débit;272
01/10/1914 00:01;Hauteur;119
20/11/1914 08:00;Débit;438
20/11/1914 08:00;Hauteur;149
22/12/1914 15:00;Débit;731
22/12/1914 15:00;Hauteur;235
24/01/1915 15:00;Débit;1170
24/01/1915 15:00;Hauteur;400
24/01/1915 15:00;Débit;1170
24/01/1915 15:00;Hauteur;400
16/02/1915 08:00;Débit;891
16/02/1915 08:00;Hauteur;290
04/03/1915 08:00;Débit;702
04/03/1915 08:00;Hauteur;226
12/04/1915 15:00;Débit;1120
12/04/1915 15:00;Hauteur;381
07/05/1915 08:00;Débit;465
07/05/1915 08:00;Hauteur;155
02/06/1915 08:00;Débit;225
02/06/1915 08:00;Hauteur;113
01/07/1915 00:01;Débit;137
01/07/1915 00:01;Hauteur;96,7
25/08/1915 08:00;Débit;170
25/08/1915 08:00;Hauteur;104
29/09/1915 08:00;Débit;213
29/09/1915 08:00;Hauteur;111
16/10/1915 08:00;Débit;170
16/10/1915 08:00;Hauteur;104
15/11/1915 08:00;Débit;219
15/11/1915 08:00;Hauteur;112
28/12/1915 08:00;Débit;1070
28/12/1915 08:00;Hauteur;360
01/03/1916 07:00;Débit;1360
01/03/1916 07:00;Hauteur;475
01/01/1916 00:01;Débit;979
01/01/1916 00:01;Hauteur;322
29/02/1916 23:59;Débit;1360
29/02/1916 23:59;Hauteur;473
01/03/1916 07:00;Débit;1360
01/03/1916 07:00;Hauteur;475
25/04/1916 07:00;Débit;807
25/04/1916 07:00;Hauteur;260
01/05/1916 00:01;Débit;634
01/05/1916 00:01;Hauteur;205
21/06/1916 07:00;Débit;428
21/06/1916 07:00;Hauteur;147
07/07/1916 07:00;Débit;644
07/07/1916 07:00;Hauteur;208
22/08/1916 07:00;Débit;278
22/08/1916 07:00;Hauteur;120
08/09/1916 07:00;Débit;207
08/09/1916 07:00;Hauteur;110
31/10/1916 07:00;Débit;631
31/10/1916 07:00;Hauteur;204
29/11/1916 07:00;Débit;880
29/11/1916 07:00;Hauteur;286
